NodeID,t,solar_Production,SpatialUsage,GridPurchaseCost,InstallationCost,O&MCost,GridPurchaseQuantity,GridPercentage,RenewablePercentage,TotalCost,wind_Production,InventoryUsage,InventoryPercentage,SalvageCost
5,7,40403705.15313779,113875.3876764795,0.9830832594524322,,0.11987406785306959,8449396.077685429,24.53429349720878,42.821747957030496,1.1029573273055018,,11656025.867279,33.84530172447755,
5,8,40198495.69152633,113875.3876764795,0.9629083227537271,,0.11627784581747751,8531955.354944235,24.774018741541255,42.7884671863179,1.0791861685712045,,11536518.686461352,33.498291805396164,
5,9,39993286.229914874,113875.3876764795,0.9432251113575008,,0.11278951044295318,8616031.02091013,25.018147084657773,42.75475893106295,1.056014621800454,,11422996.11131965,33.16865923148463,
5,10,39788076.76830342,113875.3876764795,0.9240958779705976,,0.10940582512966458,8702363.06605317,25.26882721780332,42.72028053617896,1.0335017031002622,,11261913.341589998,32.700927347033414,
6,11,98777527.97859722,543833.0147516724,0.05275211950209852,7.153014030880803,0.27525066807852305,512139.58427522925,1.487086503771632,68.91534736672075,7.481016818461424,15504842.585952457,29463776.897340216,85.55320916304392,
6,12,98275006.98116708,544388.877159542,0.021775942857091547,6.938423609954377,0.2669931480361673,217948.38986122873,0.632851119173034,68.7058935627242,7.227192700847636,15242788.908443402,41918811.74451384,121.71857265754682,
6,13,97772485.98373695,544944.7395674117,0.010618567182936224,6.7302709016557465,0.2589833535950823,109564.75743548512,0.3181403607024466,68.49405853431871,6.999872822433765,14980735.230934346,43242917.8649474,125.56334545331644,
6,14,97269964.98630682,545500.6019752814,0.004719170843094101,6.528362774606073,0.2512138529872298,50199.44643883018,0.1457628380778961,68.2798895002548,6.784295798436397,14718681.553425292,40120638.010252826,116.49726195679236,
6,15,118214051.37928462,602557.7985749872,,6.332511891367892,0.26133837089242223,,,68.63402101405107,6.593850262260314,14456627.875916233,47993809.74139304,139.3583876786481,
7,11,98777527.97859722,543516.3641508719,0.0998011201594636,1.6905099366699292,0.27525066807852305,968910.911468432,2.8134016272943385,68.91534736672075,2.0655617249079157,15504842.585952457,20387556.966158587,59.19882340701184,
7,12,98275006.98116708,543524.7645078243,0.09718258123646879,0.05758436617918668,0.2669931480361673,972669.1166508412,2.824314230765664,68.7058935627242,0.4217600954518228,15242788.908443402,20557408.282052863,59.69201629283745,
7,13,97772485.98373695,543980.4433452133,0.040157665362845506,3.0299638295744016,0.2589833535950823,414355.79667716613,1.203154241377704,68.49405853431871,3.3291048485323294,14980735.230934346,33649169.295475855,97.70622513634355,
7,14,97269964.98630682,544992.6145103755,0.009728619160564606,6.528362774606073,0.2512138529872298,103486.67439942517,0.3004915877326334,68.2798895002548,6.789305246753868,14718681.553425292,45812332.521583125,133.0240885315601,
7,15,96767443.98887667,546004.7856755378,,6.332511891367892,0.2436774373976129,,,68.06293964863453,6.576189328765505,14456627.875916233,40706699.198745586,118.19899271643537,
8,11,98777527.97859722,543536.5386252176,0.09452094662094124,3.3378650617687016,0.27525066807852305,917648.7838715992,2.6645531093424397,68.91534736672075,3.707636676468166,15504842.585952457,21006473.047926456,60.9959540729937,
8,12,98275006.98116708,544092.4010330873,0.03317049606001089,6.938423609954377,0.2669931480361673,331992.7984116318,0.9639989272963384,68.7058935627242,7.238587254050556,15242788.908443402,36500042.99291363,105.98423357308039,
8,13,97772485.98373695,544648.263440957,0.016444481506505994,6.7302709016557465,0.2589833535950823,169677.84790286914,0.49268919129236827,68.49405853431871,7.005698736757335,14980735.230934346,45907890.4961701,133.30155775811315,
8,14,143294898.7550333,658376.2214751603,0.006323114919746591,6.528362774606073,0.29086991588170075,67261.1522858694,0.19530447335758236,69.35273214292152,6.825555805407521,14718681.553425292,56875107.47773612,165.1467828841935,
8,15,211599653.7418493,828690.2273225306,,6.332511891367892,0.3351266188896776,,,70.14135862032552,6.66763851025757,14456627.875916233,63780721.12057723,185.198435136505,
9,11,98777527.97859722,543516.3641508719,0.09980112015946362,1.6905099366699292,0.27525066807852305,968910.9114684318,2.8134016272943376,68.91534736672075,2.0655617249079157,15504842.585952457,20389416.43927194,59.20422271113887,
9,12,98275006.98116708,543524.7645078243,0.09718258123646879,0.05758436617918668,0.2669931480361673,972669.1166508411,2.8243142307656637,68.7058935627242,0.4217600954518228,15242788.908443402,20622445.57070523,59.88086339071157,
9,13,97772485.98373695,543980.4433452133,0.04015766536284549,3.0299638295744016,0.2589833535950823,414355.79667716613,1.203154241377704,68.49405853431871,3.3291048485323294,14980735.230934346,33630774.176121175,97.65281170264788,
9,14,97269964.98630682,544992.6145103755,0.009728619160564611,6.528362774606073,0.2512138529872298,103486.67439942525,0.30049158773263357,68.2798895002548,6.789305246753868,14718681.553425292,45824142.798735626,133.05838172876364,
9,15,96767443.98887667,546004.7856755378,,6.332511891367892,0.2436774373976129,,,68.06293964863453,6.576189328765505,14456627.875916233,43056191.314592525,125.0211523843672,
10,11,49679650.28594537,228952.6542616835,0.39534623104510785,5.951829509836126,0.14361438904157303,3838186.1491682045,11.144842141949844,53.89995155477956,6.490790129922806,5022695.485590233,19012946.708015,55.20740304897755,
10,12,70872019.40553933,286241.9866192308,0.15645240625811935,6.7391313613643975,0.16429856015237074,1565881.6822605415,4.546810259722973,55.372189729102715,7.059882327774887,4935344.259753881,31838204.908479962,92.447774547089,
10,13,91957155.48818125,343560.39155562356,0.05123370232155738,6.730270901655746,0.1816306481101339,528640.829847919,1.5350007450058751,56.315879034115696,6.9631352520874366,4847993.033917529,47971204.84717891,139.292750430255,
10,14,91488451.1434632,344572.5627207858,0.02731605482915812,6.528362774606073,0.1761817286668299,290570.2880672608,0.8437214522157342,56.14193861751755,6.731860558102061,4760641.808081177,44204370.99466336,128.35509211205783,
10,15,91019746.79874513,517672.71383913065,,6.332511891367891,0.19168666995429615,,,68.75356252035266,6.524198561322187,15592193.811788809,39381723.757356204,114.35169569582445,
11,11,49679650.28594537,229241.7062984858,0.33560467035223596,5.769213571941215,0.14361438904157303,3258190.1538227685,9.460722727239121,53.89995155477956,6.248432631335024,5022695.485590233,23917052.058120117,69.44732728669538,
11,12,49425412.015131384,229260.6897895802,0.32459175030499543,0.0714654736784643,0.13930595737032583,3248734.1561044357,9.433265590516273,53.71453063535151,0.5353631813537856,4935344.259753881,21434912.98058798,62.240004056826585,
11,13,70617781.13472535,286539.39209262916,0.12887474895751438,4.848426632988442,0.15738782341155033,1329758.5602490515,3.8611856394963797,55.20017338218165,5.134689205357507,4847993.033917529,33907590.95704575,98.45659745084971,
11,14,91702917.21736728,344333.4319033207,0.029308384944261457,6.528362774606073,0.17249422015643928,311763.3900393914,0.9052593158831408,56.151409141393394,6.730165379706774,4760641.808081177,50349340.99351617,146.19808303084747,
11,15,91234212.8726492,517665.2015379708,,6.332511891367891,0.18810978669921732,,,68.76016432626527,6.5206216780671085,15592193.811788809,42433652.98001774,123.21350387632077,
12,11,74257976.66426393,285680.0995827498,0.2542460919081583,6.748288125632442,0.1716737276974996,2468327.131543332,7.167217838484452,55.73685297492136,7.1742079452381,5022695.485590233,20745409.847847465,60.23791159123884,
12,12,73880846.76155835,286026.8370225017,0.174085095199204,2.3768818172606303,0.1665235158665746,1742361.5797719264,5.059250387051898,55.55856251849216,2.7174904283264087,4935344.259753881,27997481.141255707,81.29556398903006,
12,13,96516183.74321602,343499.4971911129,0.049283169805969654,6.7302709016557465,0.18378885515291166,508514.7979399776,1.4765613051661837,56.51085553519699,6.963342926614628,4847993.033917529,48092040.824627824,139.6436187418475,
12,14,96023991.50608863,430555.65833286644,0.01257688092575933,6.528362774606073,0.19020915107816452,133784.61627938383,0.3884669402442065,64.13021340965155,6.731148806609997,10220093.422853168,47018843.65427874,136.5274037939821,
12,15,95531799.26896124,517611.81947462,,6.332511891367891,0.19489807311955518,,,68.82389647980695,6.527409964487446,15504842.585952457,45502397.482034676,132.12413814984788,
13,11,74257976.66426393,286062.4022144819,0.17139306830537848,6.9643944748929805,0.1716737276974996,1663955.4121816983,4.831584420163416,55.73685297492136,7.307461270895859,5022695.485590233,31447136.254366737,91.31223858104389,
13,12,73880846.76155835,286074.8869515219,0.16722824999683236,0.0470001877882563,0.1665235158665746,1673733.6273019873,4.859977171246963,55.55856251849216,0.38075195365166326,4935344.259753881,31168388.469193112,90.50284582560093,
13,13,73503716.85885277,286201.3079787293,0.15012606662008945,0.46164830225064796,0.16152781039057734,1549034.4215560418,4.497891303273553,55.3798313232056,0.7733021792613148,4847993.033917529,31109175.52753297,90.33091073388951,
13,14,96139053.84051044,344276.231504377,0.027108158196005202,6.528362774606073,0.17651000752609552,288358.8199412352,0.8373000692476751,56.342271466786556,6.731980940328174,4760641.808081177,46538225.97884563,135.13184664402635,
13,15,95646861.60338305,517608.00113902707,,6.332511891367891,0.19200510044778382,,,68.89145246495957,6.524516991815674,15592193.811788809,38633384.94985092,112.17876359868036,
14,11,108275473.82362063,376496.68817172747,0.14541142204139526,7.153014030880802,0.22823177908239853,1411714.7507255613,4.09915971629154,57.25425426032166,7.526657232004595,5022695.485590233,23123031.71974261,67.14175090639588,
14,12,176763112.06058162,546810.6940190976,0.061409663462019724,6.938423609954377,0.2963626340560612,614629.5185151289,1.78468388280705,58.93876515283465,7.296195907472458,4935344.259753881,28192918.832827363,81.86305137408698,
14,13,244905563.29427713,717124.6998664679,0.03414567874503534,6.7302709016557465,0.35425488932138227,352322.77055060246,1.023030543125646,59.85299889911423,7.118671469722163,4847993.033917529,32117073.674025495,93.257518590118,
14,14,289690360.64034396,830852.6579006712,0.009726716166340417,6.528362774606073,0.3832833055362117,103466.43159410897,0.30043280922085946,60.1448379210288,6.921372796308625,4760641.808081177,40393665.862755746,117.29004589124537,
14,15,299726332.85131,859694.8564486937,,6.332511891367891,0.38061527311753,,,60.08394023275427,6.713127164485421,4673290.582244825,59013764.171650074,171.35674517449587,
