NodeID,t,variable,event,quantity,cost_per_unit,total_cost,t_
13,14,grid,purchase,288358.8199412352,0.09400842395432746,27108.15819600521,
13,14,solarV5,installation,1.0,1796357.063689578,1796357.063689578,
13,14,batteryV0,installation,153554.4282353639,30.81647182237825,4732005.710916495,
13,15,windV0,installation,2.0,2283635.805149058,4567271.610298116,
13,15,batteryV0,installation,59053.98099426559,29.891977667706904,1765240.281069775,
14,11,grid,purchase,1411714.7507255613,0.10300340204468354,145411.42204139518,
14,11,solarV3,installation,1.0,319010.07276331505,319010.07276331505,
14,11,solarV5,installation,1.0,1968237.3245286958,1968237.3245286958,
14,11,batteryV0,installation,43462.05437030454,111.95436350365729,4865766.633588791,
14,12,grid,purchase,614629.5185151289,0.09991329998334303,61409.66346201976,
14,12,solarV5,installation,3.0,1909190.2047928346,5727570.6143785035,
14,12,batteryV0,installation,11150.097398873928,108.59573259854756,1210852.9955758736,
14,13,grid,purchase,352322.77055060246,0.09691590098384273,34145.67874503533,
14,13,solarV5,installation,3.0,1851914.4986490496,5555743.495947149,
14,13,batteryV0,installation,11150.097398873928,105.33786062059113,1174527.4057085975,
14,14,grid,purchase,103466.43159410897,0.09400842395432746,9726.716166340417,
14,14,solarV5,installation,2.0,1796357.063689578,3592714.127379156,
14,14,batteryV0,installation,28730.808529122976,102.1777248019734,2935648.6472269176,
14,15,solarV4,installation,1.0,953117.8576921758,953117.8576921758,
14,15,batteryV0,installation,54275.69517499575,99.11239305791419,5379394.033675715,
15,11,grid,purchase,2188600.8116303976,0.10300340204468354,225433.32931568654,
15,11,batteryV0,installation,38071.62244222694,61.482903495566546,2340753.888535084,
15,12,grid,purchase,1599610.9086198097,0.09991329998334303,159822.40456955894,
15,12,batteryV0,installation,32255.069053887368,59.63841639069955,1923641.238946502,
15,13,grid,purchase,465961.7326947215,0.09691590098384273,45159.10114810142,
15,13,solarV5,installation,1.0,1851914.4986490496,1851914.4986490496,
15,13,batteryV0,installation,84328.7550127813,57.849263898978556,4878356.403006697,
